$Date,$Time,PIC101SP,PT101,PIC101OUT,PIC101P_GS,PIC101I_GS
05/23/22,02:53:41,0,1.641,39.99268,140,3
05/23/22,02:53:42,0,1.641,39.99268,140,3
05/23/22,02:53:43,0,1.642,39.99268,140,3
05/23/22,02:53:44,0,1.642,39.99268,140,3
05/23/22,02:53:45,0,1.642,39.99268,140,3
05/23/22,02:53:46,0,1.642,39.99268,140,3
05/23/22,02:53:47,0,1.642,39.99268,140,3
05/23/22,02:53:48,0,1.642,39.99268,140,3
05/23/22,02:53:49,0,1.643,39.99268,140,3
05/23/22,02:53:50,0,1.643,39.99268,140,3
05/23/22,02:53:51,0,1.643,39.99268,140,3
05/23/22,02:53:52,0,1.643,39.99268,140,3
05/23/22,02:53:53,0,1.643,39.99268,140,3
05/23/22,02:53:54,0,1.643,39.99268,140,3
05/23/22,02:53:55,0,1.643,39.99268,140,3
05/23/22,02:53:56,0,1.643,39.99268,140,3
05/23/22,02:53:57,0,1.643,39.99268,140,3
05/23/22,02:53:58,0,1.643,39.99268,140,3
05/23/22,02:53:59,0,1.644,39.99268,140,3
05/23/22,02:54:00,0,1.644,60.00122,140,3
05/23/22,02:54:01,0,1.644,60.00122,140,3
05/23/22,02:54:02,0,1.641,60.00122,140,3
05/23/22,02:54:03,0,1.628,60.00122,140,3
05/23/22,02:54:04,0,1.617,60.00122,140,3
05/23/22,02:54:05,0,1.606,60.00122,140,3
05/23/22,02:54:06,0,1.597,60.00122,140,3
05/23/22,02:54:07,0,1.588,60.00122,140,3
05/23/22,02:54:08,0,1.579,60.00122,140,3
05/23/22,02:54:09,0,1.571,60.00122,140,3
05/23/22,02:54:10,0,1.563,60.00122,140,3
05/23/22,02:54:11,0,1.556,60.00122,140,3
05/23/22,02:54:12,0,1.549,60.00122,140,3
05/23/22,02:54:13,0,1.543,60.00122,140,3
05/23/22,02:54:14,0,1.538,60.00122,140,3
05/23/22,02:54:15,0,1.532,60.00122,140,3
05/23/22,02:54:16,0,1.527,60.00122,140,3
05/23/22,02:54:17,0,1.523,60.00122,140,3
05/23/22,02:54:18,0,1.518,60.00122,140,3
05/23/22,02:54:19,0,1.515,60.00122,140,3
05/23/22,02:54:20,0,1.512,60.00122,140,3
05/23/22,02:54:21,0,1.508,60.00122,140,3
05/23/22,02:54:22,0,1.505,60.00122,140,3
05/23/22,02:54:23,0,1.502,60.00122,140,3
05/23/22,02:54:24,0,1.5,60.00122,140,3
05/23/22,02:54:25,0,1.498,60.00122,140,3
05/23/22,02:54:26,0,1.496,60.00122,140,3
05/23/22,02:54:27,0,1.494,60.00122,140,3
05/23/22,02:54:28,0,1.492,60.00122,140,3
05/23/22,02:54:29,0,1.49,60.00122,140,3
05/23/22,02:54:30,0,1.488,60.00122,140,3
05/23/22,02:54:31,0,1.486,60.00122,140,3
05/23/22,02:54:32,0,1.485,60.00122,140,3
05/23/22,02:54:33,0,1.484,60.00122,140,3
05/23/22,02:54:34,0,1.482,60.00122,140,3
05/23/22,02:54:35,0,1.481,60.00122,140,3
05/23/22,02:54:36,0,1.48,60.00122,140,3
05/23/22,02:54:37,0,1.479,60.00122,140,3
05/23/22,02:54:38,0,1.478,60.00122,140,3
05/23/22,02:54:39,0,1.476,60.00122,140,3
05/23/22,02:54:40,0,1.475,60.00122,140,3
05/23/22,02:54:41,0,1.474,60.00122,140,3
05/23/22,02:54:42,0,1.474,60.00122,140,3
05/23/22,02:54:43,0,1.472,60.00122,140,3
05/23/22,02:54:44,0,1.472,60.00122,140,3
05/23/22,02:54:45,0,1.47,60.00122,140,3
05/23/22,02:54:46,0,1.47,60.00122,140,3
05/23/22,02:54:47,0,1.469,60.00122,140,3
05/23/22,02:54:48,0,1.469,60.00122,140,3
05/23/22,02:54:49,0,1.468,60.00122,140,3
05/23/22,02:54:50,0,1.467,60.00122,140,3
05/23/22,02:54:51,0,1.466,60.00122,140,3
05/23/22,02:54:52,0,1.466,60.00122,140,3
05/23/22,02:54:53,0,1.466,60.00122,140,3
05/23/22,02:54:54,0,1.465,60.00122,140,3
05/23/22,02:54:55,0,1.465,60.00122,140,3
05/23/22,02:54:56,0,1.464,60.00122,140,3
05/23/22,02:54:57,0,1.464,60.00122,140,3
05/23/22,02:54:58,0,1.464,60.00122,140,3
05/23/22,02:54:59,0,1.463,60.00122,140,3
05/23/22,02:55:00,0,1.463,60.00122,140,3
05/23/22,02:55:01,0,1.462,60.00122,140,3
05/23/22,02:55:02,0,1.463,60.00122,140,3
05/23/22,02:55:03,0,1.463,60.00122,140,3
05/23/22,02:55:04,0,1.462,60.00122,140,3
05/23/22,02:55:05,0,1.461,60.00122,140,3
05/23/22,02:55:06,0,1.461,60.00122,140,3
05/23/22,02:55:07,0,1.461,60.00122,140,3
05/23/22,02:55:08,0,1.461,60.00122,140,3
05/23/22,02:55:09,0,1.461,60.00122,140,3
05/23/22,02:55:10,0,1.46,60.00122,140,3
05/23/22,02:55:11,0,1.46,60.00122,140,3
05/23/22,02:55:12,0,1.46,60.00122,140,3
05/23/22,02:55:13,0,1.46,60.00122,140,3
05/23/22,02:55:14,0,1.46,60.00122,140,3
05/23/22,02:55:15,0,1.46,60.00122,140,3
05/23/22,02:55:16,0,1.459,60.00122,140,3
05/23/22,02:55:17,0,1.459,60.00122,140,3
05/23/22,02:55:18,0,1.459,60.00122,140,3
05/23/22,02:55:19,0,1.459,60.00122,140,3
05/23/22,02:55:20,0,1.459,60.00122,140,3
05/23/22,02:55:21,0,1.459,60.00122,140,3
05/23/22,02:55:22,0,1.458,60.00122,140,3
05/23/22,02:55:23,0,1.458,60.00122,140,3
05/23/22,02:55:24,0,1.458,60.00122,140,3
05/23/22,02:55:25,0,1.458,60.00122,140,3
05/23/22,02:55:26,0,1.458,60.00122,140,3
05/23/22,02:55:27,0,1.458,60.00122,140,3
05/23/22,02:55:28,0,1.457,60.00122,140,3
05/23/22,02:55:29,0,1.456,60.00122,140,3
05/23/22,02:55:30,0,1.457,60.00122,140,3
05/23/22,02:55:31,0,1.456,60.00122,140,3
05/23/22,02:55:32,0,1.456,60.00122,140,3
05/23/22,02:55:33,0,1.456,60.00122,140,3
05/23/22,02:55:34,0,1.455,60.00122,140,3
05/23/22,02:55:35,0,1.455,60.00122,140,3
05/23/22,02:55:36,0,1.455,60.00122,140,3
05/23/22,02:55:37,0,1.454,60.00122,140,3
05/23/22,02:55:38,0,1.454,60.00122,140,3
05/23/22,02:55:39,0,1.454,60.00122,140,3
05/23/22,02:55:40,0,1.454,60.00122,140,3
05/23/22,02:55:41,0,1.453,60.00122,140,3
05/23/22,02:55:42,0,1.453,60.00122,140,3
05/23/22,02:55:43,0,1.453,60.00122,140,3
05/23/22,02:55:44,0,1.453,60.00122,140,3
05/23/22,02:55:45,0,1.452,60.00122,140,3
05/23/22,02:55:46,0,1.452,60.00122,140,3
05/23/22,02:55:47,0,1.452,60.00122,140,3
05/23/22,02:55:48,0,1.451,60.00122,140,3
05/23/22,02:55:49,0,1.451,60.00122,140,3
05/23/22,02:55:50,0,1.45,60.00122,140,3
05/23/22,02:55:51,0,1.451,60.00122,140,3
05/23/22,02:55:52,0,1.45,60.00122,140,3
05/23/22,02:55:53,0,1.45,60.00122,140,3
05/23/22,02:55:54,0,1.45,60.00122,140,3
05/23/22,02:55:55,0,1.449,60.00122,140,3
05/23/22,02:55:56,0,1.449,60.00122,140,3
05/23/22,02:55:57,0,1.449,60.00122,140,3
05/23/22,02:55:58,0,1.448,60.00122,140,3
05/23/22,02:55:59,0,1.448,60.00122,140,3
05/23/22,02:56:00,0,1.448,60.00122,140,3
05/23/22,02:56:01,0,1.448,60.00122,140,3
05/23/22,02:56:02,0,1.448,60.00122,140,3
05/23/22,02:56:03,0,1.447,60.00122,140,3
05/23/22,02:56:04,0,1.447,60.00122,140,3
05/23/22,02:56:05,0,1.447,60.00122,140,3
05/23/22,02:56:06,0,1.447,60.00122,140,3
05/23/22,02:56:07,0,1.446,60.00122,140,3
05/23/22,02:56:08,0,1.446,60.00122,140,3
05/23/22,02:56:09,0,1.446,60.00122,140,3
05/23/22,02:56:10,0,1.446,60.00122,140,3
05/23/22,02:56:11,0,1.446,60.00122,140,3
05/23/22,02:56:12,0,1.446,60.00122,140,3
05/23/22,02:56:13,0,1.445,60.00122,140,3
05/23/22,02:56:14,0,1.445,60.00122,140,3
05/23/22,02:56:15,0,1.445,60.00122,140,3
05/23/22,02:56:16,0,1.445,60.00122,140,3
05/23/22,02:56:17,0,1.444,60.00122,140,3
05/23/22,02:56:18,0,1.444,60.00122,140,3
05/23/22,02:56:19,0,1.444,60.00122,140,3
05/23/22,02:56:20,0,1.444,60.00122,140,3
05/23/22,02:56:21,0,1.444,60.00122,140,3
05/23/22,02:56:22,0,1.444,60.00122,140,3
05/23/22,02:56:23,0,1.443,60.00122,140,3
05/23/22,02:56:24,0,1.444,60.00122,140,3
05/23/22,02:56:25,0,1.443,60.00122,140,3
05/23/22,02:56:26,0,1.444,60.00122,140,3
05/23/22,02:56:27,0,1.443,60.00122,140,3
05/23/22,02:56:28,0,1.443,60.00122,140,3
05/23/22,02:56:29,0,1.443,60.00122,140,3
05/23/22,02:56:30,0,1.443,60.00122,140,3
05/23/22,02:56:31,0,1.442,60.00122,140,3
05/23/22,02:56:32,0,1.442,60.00122,140,3
05/23/22,02:56:33,0,1.442,60.00122,140,3
05/23/22,02:56:34,0,1.442,60.00122,140,3
05/23/22,02:56:35,0,1.442,60.00122,140,3
05/23/22,02:56:36,0,1.442,60.00122,140,3
05/23/22,02:56:37,0,1.442,60.00122,140,3
05/23/22,02:56:38,0,1.442,60.00122,140,3
05/23/22,02:56:39,0,1.442,60.00122,140,3
05/23/22,02:56:40,0,1.442,60.00122,140,3
05/23/22,02:56:41,0,1.442,60.00122,140,3
05/23/22,02:56:42,0,1.441,60.00122,140,3
05/23/22,02:56:43,0,1.442,60.00122,140,3
05/23/22,02:56:44,0,1.441,60.00122,140,3
05/23/22,02:56:45,0,1.441,60.00122,140,3
05/23/22,02:56:46,0,1.441,60.00122,140,3
05/23/22,02:56:47,0,1.44,60.00122,140,3
05/23/22,02:56:48,0,1.441,60.00122,140,3
05/23/22,02:56:49,0,1.439,60.00122,140,3
05/23/22,02:56:50,0,1.44,60.00122,140,3
05/23/22,02:56:51,0,1.44,60.00122,140,3
05/23/22,02:56:52,0,1.44,60.00122,140,3
05/23/22,02:56:53,0,1.439,60.00122,140,3
05/23/22,02:56:54,0,1.439,60.00122,140,3
05/23/22,02:56:55,0,1.439,60.00122,140,3
05/23/22,02:56:56,0,1.439,60.00122,140,3
05/23/22,02:56:57,0,1.439,60.00122,140,3
05/23/22,02:56:58,0,1.438,60.00122,140,3
05/23/22,02:56:59,0,1.438,60.00122,140,3
05/23/22,02:57:00,0,1.438,60.00122,140,3
05/23/22,02:57:01,0,1.437,60.00122,140,3
05/23/22,02:57:02,0,1.438,60.00122,140,3
05/23/22,02:57:03,0,1.437,60.00122,140,3
05/23/22,02:57:04,0,1.437,60.00122,140,3
05/23/22,02:57:05,0,1.437,60.00122,140,3
05/23/22,02:57:06,0,1.437,60.00122,140,3
05/23/22,02:57:07,0,1.437,60.00122,140,3
05/23/22,02:57:08,0,1.437,60.00122,140,3
05/23/22,02:57:09,0,1.437,60.00122,140,3
05/23/22,02:57:10,0,1.436,60.00122,140,3
05/23/22,02:57:11,0,1.436,60.00122,140,3
05/23/22,02:57:12,0,1.436,60.00122,140,3
05/23/22,02:57:13,0,1.436,60.00122,140,3
05/23/22,02:57:14,0,1.436,60.00122,140,3
05/23/22,02:57:15,0,1.435,60.00122,140,3
05/23/22,02:57:16,0,1.435,60.00122,140,3
05/23/22,02:57:17,0,1.435,60.00122,140,3
05/23/22,02:57:18,0,1.434,60.00122,140,3
05/23/22,02:57:19,0,1.434,60.00122,140,3
05/23/22,02:57:20,0,1.434,60.00122,140,3
05/23/22,02:57:21,0,1.434,60.00122,140,3
05/23/22,02:57:22,0,1.434,60.00122,140,3
05/23/22,02:57:23,0,1.434,60.00122,140,3
05/23/22,02:57:24,0,1.434,60.00122,140,3
05/23/22,02:57:25,0,1.433,60.00122,140,3
05/23/22,02:57:26,0,1.433,60.00122,140,3
05/23/22,02:57:27,0,1.433,60.00122,140,3
05/23/22,02:57:28,0,1.433,60.00122,140,3
05/23/22,02:57:29,0,1.433,60.00122,140,3
05/23/22,02:57:30,0,1.433,60.00122,140,3
05/23/22,02:57:31,0,1.432,60.00122,140,3
05/23/22,02:57:32,0,1.432,60.00122,140,3
05/23/22,02:57:33,0,1.432,60.00122,140,3
05/23/22,02:57:34,0,1.432,60.00122,140,3
05/23/22,02:57:35,0,1.432,60.00122,140,3
05/23/22,02:57:36,0,1.431,60.00122,140,3
05/23/22,02:57:37,0,1.431,60.00122,140,3
05/23/22,02:57:38,0,1.431,60.00122,140,3
05/23/22,02:57:39,0,1.431,60.00122,140,3
05/23/22,02:57:40,0,1.431,60.00122,140,3
05/23/22,02:57:41,0,1.431,60.00122,140,3
05/23/22,02:57:42,0,1.431,60.00122,140,3
05/23/22,02:57:43,0,1.431,60.00122,140,3
05/23/22,02:57:44,0,1.431,60.00122,140,3
05/23/22,02:57:45,0,1.431,60.00122,140,3
05/23/22,02:57:46,0,1.431,60.00122,140,3
05/23/22,02:57:47,0,1.43,60.00122,140,3
05/23/22,02:57:48,0,1.431,60.00122,140,3
05/23/22,02:57:49,0,1.43,60.00122,140,3
05/23/22,02:57:50,0,1.431,60.00122,140,3
05/23/22,02:57:51,0,1.43,60.00122,140,3
05/23/22,02:57:52,0,1.43,60.00122,140,3
05/23/22,02:57:53,0,1.43,60.00122,140,3
05/23/22,02:57:54,0,1.43,60.00122,140,3
05/23/22,02:57:55,0,1.43,60.00122,140,3
05/23/22,02:57:56,0,1.43,60.00122,140,3
05/23/22,02:57:57,0,1.43,60.00122,140,3
05/23/22,02:57:58,0,1.429,60.00122,140,3
05/23/22,02:57:59,0,1.43,60.00122,140,3
05/23/22,02:58:00,0,1.43,60.00122,140,3
05/23/22,02:58:01,0,1.429,60.00122,140,3
05/23/22,02:58:02,0,1.429,60.00122,140,3
05/23/22,02:58:03,0,1.43,60.00122,140,3
05/23/22,02:58:04,0,1.429,60.00122,140,3
05/23/22,02:58:05,0,1.429,60.00122,140,3
05/23/22,02:58:06,0,1.429,60.00122,140,3
05/23/22,02:58:07,0,1.429,60.00122,140,3
05/23/22,02:58:08,0,1.429,60.00122,140,3
05/23/22,02:58:09,0,1.429,60.00122,140,3
05/23/22,02:58:10,0,1.429,60.00122,140,3
05/23/22,02:58:11,0,1.429,60.00122,140,3
05/23/22,02:58:12,0,1.429,60.00122,140,3
05/23/22,02:58:13,0,1.429,60.00122,140,3
05/23/22,02:58:14,0,1.429,60.00122,140,3
05/23/22,02:58:15,0,1.429,60.00122,140,3
05/23/22,02:58:16,0,1.429,60.00122,140,3
05/23/22,02:58:17,0,1.429,60.00122,140,3
05/23/22,02:58:18,0,1.429,60.00122,140,3
05/23/22,02:58:19,0,1.429,60.00122,140,3
05/23/22,02:58:20,0,1.429,60.00122,140,3
05/23/22,02:58:21,0,1.428,60.00122,140,3
05/23/22,02:58:22,0,1.428,60.00122,140,3
05/23/22,02:58:23,0,1.428,60.00122,140,3
05/23/22,02:58:24,0,1.428,60.00122,140,3
05/23/22,02:58:25,0,1.428,60.00122,140,3
05/23/22,02:58:26,0,1.428,60.00122,140,3
05/23/22,02:58:27,0,1.428,60.00122,140,3
05/23/22,02:58:28,0,1.428,60.00122,140,3
05/23/22,02:58:29,0,1.428,60.00122,140,3
05/23/22,02:58:30,0,1.428,60.00122,140,3
05/23/22,02:58:31,0,1.428,60.00122,140,3
05/23/22,02:58:32,0,1.427,60.00122,140,3
05/23/22,02:58:33,0,1.427,60.00122,140,3
05/23/22,02:58:34,0,1.428,60.00122,140,3
05/23/22,02:58:35,0,1.427,60.00122,140,3
05/23/22,02:58:36,0,1.428,60.00122,140,3
05/23/22,02:58:37,0,1.428,60.00122,140,3
05/23/22,02:58:38,0,1.427,60.00122,140,3
05/23/22,02:58:39,0,1.427,60.00122,140,3
05/23/22,02:58:40,0,1.428,60.00122,140,3
05/23/22,02:58:41,0,1.427,60.00122,140,3
05/23/22,02:58:42,0,1.428,60.00122,140,3
05/23/22,02:58:43,0,1.427,60.00122,140,3
05/23/22,02:58:44,0,1.427,60.00122,140,3
05/23/22,02:58:45,0,1.427,60.00122,140,3
05/23/22,02:58:46,0,1.427,60.00122,140,3
05/23/22,02:58:47,0,1.427,60.00122,140,3
05/23/22,02:58:48,0,1.427,60.00122,140,3
05/23/22,02:58:49,0,1.427,60.00122,140,3
05/23/22,02:58:50,0,1.427,60.00122,140,3
05/23/22,02:58:51,0,1.427,60.00122,140,3
05/23/22,02:58:52,0,1.427,60.00122,140,3
05/23/22,02:58:53,0,1.427,60.00122,140,3
05/23/22,02:58:54,0,1.427,60.00122,140,3
05/23/22,02:58:55,0,1.427,60.00122,140,3
05/23/22,02:58:56,0,1.427,60.00122,140,3
05/23/22,02:58:57,0,1.427,60.00122,140,3
05/23/22,02:58:58,0,1.427,60.00122,140,3
05/23/22,02:58:59,0,1.427,60.00122,140,3
05/23/22,02:59:00,0,1.427,60.00122,140,3
05/23/22,02:59:01,0,1.427,60.00122,140,3
05/23/22,02:59:02,0,1.427,60.00122,140,3
05/23/22,02:59:03,0,1.427,60.00122,140,3
05/23/22,02:59:04,0,1.427,60.00122,140,3
05/23/22,02:59:05,0,1.427,60.00122,140,3
05/23/22,02:59:06,0,1.428,60.00122,140,3
05/23/22,02:59:07,0,1.427,60.00122,140,3
05/23/22,02:59:08,0,1.428,60.00122,140,3
05/23/22,02:59:09,0,1.428,60.00122,140,3
05/23/22,02:59:10,0,1.428,60.00122,140,3
05/23/22,02:59:11,0,1.428,60.00122,140,3
05/23/22,02:59:12,0,1.428,60.00122,140,3
05/23/22,02:59:13,0,1.428,60.00122,140,3
05/23/22,02:59:14,0,1.428,60.00122,140,3
05/23/22,02:59:15,0,1.427,60.00122,140,3
05/23/22,02:59:16,0,1.428,60.00122,140,3
05/23/22,02:59:17,0,1.429,60.00122,140,3
05/23/22,02:59:18,0,1.428,60.00122,140,3
05/23/22,02:59:19,0,1.429,60.00122,140,3
05/23/22,02:59:20,0,1.428,60.00122,140,3
05/23/22,02:59:21,0,1.428,60.00122,140,3
05/23/22,02:59:22,0,1.428,60.00122,140,3
05/23/22,02:59:23,0,1.429,60.00122,140,3
05/23/22,02:59:24,0,1.428,60.00122,140,3
05/23/22,02:59:25,0,1.429,60.00122,140,3
05/23/22,02:59:26,0,1.429,60.00122,140,3
05/23/22,02:59:27,0,1.429,60.00122,140,3
05/23/22,02:59:28,0,1.429,60.00122,140,3
05/23/22,02:59:29,0,1.429,60.00122,140,3
05/23/22,02:59:30,0,1.429,60.00122,140,3
05/23/22,02:59:31,0,1.429,60.00122,140,3
05/23/22,02:59:32,0,1.428,60.00122,140,3
05/23/22,02:59:33,0,1.428,60.00122,140,3
05/23/22,02:59:34,0,1.428,60.00122,140,3
05/23/22,02:59:35,0,1.428,60.00122,140,3
05/23/22,02:59:36,0,1.429,60.00122,140,3
05/23/22,02:59:37,0,1.428,60.00122,140,3
05/23/22,02:59:38,0,1.428,60.00122,140,3
05/23/22,02:59:39,0,1.428,60.00122,140,3
05/23/22,02:59:40,0,1.428,60.00122,140,3
05/23/22,02:59:41,0,1.429,60.00122,140,3
05/23/22,02:59:42,0,1.429,60.00122,140,3
05/23/22,02:59:43,0,1.428,60.00122,140,3
05/23/22,02:59:44,0,1.428,60.00122,140,3
05/23/22,02:59:45,0,1.428,60.00122,140,3
05/23/22,02:59:46,0,1.428,60.00122,140,3
05/23/22,02:59:47,0,1.428,60.00122,140,3
05/23/22,02:59:48,0,1.428,60.00122,140,3
05/23/22,02:59:49,0,1.428,60.00122,140,3
05/23/22,02:59:50,0,1.428,60.00122,140,3
05/23/22,02:59:51,0,1.428,60.00122,140,3
05/23/22,02:59:52,0,1.428,60.00122,140,3
05/23/22,02:59:53,0,1.428,60.00122,140,3
05/23/22,02:59:54,0,1.428,60.00122,140,3
05/23/22,02:59:55,0,1.428,60.00122,140,3
05/23/22,02:59:56,0,1.428,60.00122,140,3
05/23/22,02:59:57,0,1.428,60.00122,140,3
05/23/22,02:59:58,0,1.428,60.00122,140,3
05/23/22,02:59:59,0,1.428,60.00122,140,3
05/23/22,03:00:00,0,1.428,60.00122,140,3
05/23/22,03:00:01,0,1.428,60.00122,140,3
05/23/22,03:00:02,0,1.428,60.00122,140,3
05/23/22,03:00:03,0,1.428,60.00122,140,3
05/23/22,03:00:04,0,1.428,60.00122,140,3
05/23/22,03:00:05,0,1.428,60.00122,140,3
05/23/22,03:00:06,0,1.428,60.00122,140,3
05/23/22,03:00:07,0,1.428,60.00122,140,3
05/23/22,03:00:08,0,1.428,60.00122,140,3
05/23/22,03:00:09,0,1.428,60.00122,140,3
05/23/22,03:00:10,0,1.429,60.00122,140,3
05/23/22,03:00:11,0,1.428,60.00122,140,3
05/23/22,03:00:12,0,1.428,60.00122,140,3
05/23/22,03:00:13,0,1.428,60.00122,140,3
05/23/22,03:00:14,0,1.428,60.00122,140,3
05/23/22,03:00:15,0,1.428,60.00122,140,3
05/23/22,03:00:16,0,1.429,60.00122,140,3
05/23/22,03:00:17,0,1.429,60.00122,140,3
05/23/22,03:00:18,0,1.428,60.00122,140,3
05/23/22,03:00:19,0,1.429,60.00122,140,3
05/23/22,03:00:20,0,1.428,60.00122,140,3
05/23/22,03:00:21,0,1.428,60.00122,140,3
05/23/22,03:00:22,0,1.428,60.00122,140,3
05/23/22,03:00:23,0,1.429,60.00122,140,3
05/23/22,03:00:24,0,1.429,60.00122,140,3
05/23/22,03:00:25,0,1.428,60.00122,140,3
05/23/22,03:00:26,0,1.429,60.00122,140,3
05/23/22,03:00:27,0,1.429,60.00122,140,3
05/23/22,03:00:28,0,1.429,60.00122,140,3
05/23/22,03:00:29,0,1.429,60.00122,140,3
05/23/22,03:00:30,0,1.43,60.00122,140,3
05/23/22,03:00:31,0,1.429,60.00122,140,3
05/23/22,03:00:32,0,1.429,60.00122,140,3
05/23/22,03:00:33,0,1.429,60.00122,140,3
05/23/22,03:00:34,0,1.43,60.00122,140,3
