$Date,$Time,PIC101SP,PT101,PIC101OUT,PIC101P_GS,PIC101I_GS
05/23/22,03:07:32,0,1.297,79.99756,140,3
05/23/22,03:07:33,0,1.296,79.99756,140,3
05/23/22,03:07:34,0,1.296,79.99756,140,3
05/23/22,03:07:35,0,1.296,79.99756,140,3
05/23/22,03:07:36,0,1.296,79.99756,140,3
05/23/22,03:07:37,0,1.295,79.99756,140,3
05/23/22,03:07:38,0,1.295,79.99756,140,3
05/23/22,03:07:39,0,1.295,79.99756,140,3
05/23/22,03:07:40,0,1.295,79.99756,140,3
05/23/22,03:07:41,0,1.294,79.99756,140,3
05/23/22,03:07:42,0,1.294,79.99756,140,3
05/23/22,03:07:43,0,1.294,79.99756,140,3
05/23/22,03:07:44,0,1.293,79.99756,140,3
05/23/22,03:07:45,0,1.293,79.99756,140,3
05/23/22,03:07:46,0,1.293,79.99756,140,3
05/23/22,03:07:47,0,1.292,79.99756,140,3
05/23/22,03:07:48,0,1.292,79.99756,140,3
05/23/22,03:07:49,0,1.292,79.99756,140,3
05/23/22,03:07:50,0,1.292,79.99756,140,3
05/23/22,03:07:51,0,1.291,79.99756,140,3
05/23/22,03:07:52,0,1.291,79.99756,140,3
05/23/22,03:07:53,0,1.291,79.99756,140,3
05/23/22,03:07:54,0,1.291,79.99756,140,3
05/23/22,03:07:55,0,1.291,79.99756,140,3
05/23/22,03:07:56,0,1.29,79.99756,140,3
05/23/22,03:07:57,0,1.29,79.99756,140,3
05/23/22,03:07:58,0,1.29,79.99756,140,3
05/23/22,03:07:59,0,1.29,79.99756,140,3
05/23/22,03:08:00,0,1.29,79.99756,140,3
05/23/22,03:08:01,0,1.29,79.99756,140,3
05/23/22,03:08:02,0,1.29,79.99756,140,3
05/23/22,03:08:03,0,1.289,79.99756,140,3
05/23/22,03:08:04,0,1.289,79.99756,140,3
05/23/22,03:08:05,0,1.289,79.99756,140,3
05/23/22,03:08:06,0,1.288,79.99756,140,3
05/23/22,03:08:07,0,1.288,79.99756,140,3
05/23/22,03:08:08,0,1.288,79.99756,140,3
05/23/22,03:08:09,0,1.288,79.99756,140,3
05/23/22,03:08:10,0,1.287,79.99756,140,3
05/23/22,03:08:11,0,1.287,79.99756,140,3
05/23/22,03:08:12,0,1.286,79.99756,140,3
05/23/22,03:08:13,0,1.287,79.99756,140,3
05/23/22,03:08:14,0,1.287,79.99756,140,3
05/23/22,03:08:15,0,1.287,79.99756,140,3
05/23/22,03:08:16,0,1.287,79.99756,140,3
05/23/22,03:08:17,0,1.286,79.99756,140,3
05/23/22,03:08:18,0,1.286,79.99756,140,3
05/23/22,03:08:19,0,1.287,79.99756,140,3
05/23/22,03:08:20,0,1.286,79.99756,140,3
05/23/22,03:08:21,0,1.285,79.99756,140,3
05/23/22,03:08:22,0,1.285,79.99756,140,3
05/23/22,03:08:23,0,1.285,79.99756,140,3
05/23/22,03:08:24,0,1.285,79.99756,140,3
05/23/22,03:08:25,0,1.285,79.99756,140,3
05/23/22,03:08:26,0,1.285,79.99756,140,3
05/23/22,03:08:27,0,1.285,79.99756,140,3
05/23/22,03:08:28,0,1.285,79.99756,140,3
05/23/22,03:08:29,0,1.284,79.99756,140,3
05/23/22,03:08:30,0,1.285,79.99756,140,3
05/23/22,03:08:31,0,1.284,79.99756,140,3
05/23/22,03:08:32,0,1.285,79.99756,140,3
05/23/22,03:08:33,0,1.285,79.99756,140,3
05/23/22,03:08:34,0,1.284,79.99756,140,3
05/23/22,03:08:35,0,1.284,79.99756,140,3
05/23/22,03:08:36,0,1.284,79.99756,140,3
05/23/22,03:08:37,0,1.284,79.99756,140,3
05/23/22,03:08:38,0,1.284,79.99756,140,3
05/23/22,03:08:39,0,1.284,79.99756,140,3
05/23/22,03:08:40,0,1.284,79.99756,140,3
05/23/22,03:08:41,0,1.283,79.99756,140,3
05/23/22,03:08:42,0,1.283,79.99756,140,3
05/23/22,03:08:43,0,1.283,79.99756,140,3
05/23/22,03:08:44,0,1.283,79.99756,140,3
05/23/22,03:08:45,0,1.283,79.99756,140,3
05/23/22,03:08:46,0,1.282,79.99756,140,3
05/23/22,03:08:47,0,1.283,79.99756,140,3
05/23/22,03:08:48,0,1.282,79.99756,140,3
05/23/22,03:08:49,0,1.283,79.99756,140,3
05/23/22,03:08:50,0,1.282,79.99756,140,3
05/23/22,03:08:51,0,1.282,79.99756,140,3
05/23/22,03:08:52,0,1.282,79.99756,140,3
05/23/22,03:08:53,0,1.282,79.99756,140,3
05/23/22,03:08:54,0,1.282,79.99756,140,3
05/23/22,03:08:55,0,1.281,79.99756,140,3
05/23/22,03:08:56,0,1.281,79.99756,140,3
05/23/22,03:08:57,0,1.282,79.99756,140,3
05/23/22,03:08:58,0,1.281,79.99756,140,3
05/23/22,03:08:59,0,1.281,79.99756,140,3
05/23/22,03:09:00,0,1.281,79.99756,140,3
05/23/22,03:09:01,0,1.281,79.99756,140,3
05/23/22,03:09:02,0,1.281,79.99756,140,3
05/23/22,03:09:03,0,1.281,79.99756,140,3
05/23/22,03:09:04,0,1.28,79.99756,140,3
05/23/22,03:09:05,0,1.28,79.99756,140,3
05/23/22,03:09:06,0,1.28,79.99756,140,3
05/23/22,03:09:07,0,1.281,79.99756,140,3
05/23/22,03:09:08,0,1.28,79.99756,140,3
05/23/22,03:09:09,0,1.28,79.99756,140,3
05/23/22,03:09:10,0,1.28,79.99756,140,3
05/23/22,03:09:11,0,1.28,79.99756,140,3
05/23/22,03:09:12,0,1.28,79.99756,140,3
05/23/22,03:09:13,0,1.28,79.99756,140,3
05/23/22,03:09:14,0,1.28,79.99756,140,3
05/23/22,03:09:15,0,1.28,79.99756,140,3
05/23/22,03:09:16,0,1.28,79.99756,140,3
05/23/22,03:09:17,0,1.279,79.99756,140,3
05/23/22,03:09:18,0,1.279,79.99756,140,3
05/23/22,03:09:19,0,1.28,79.99756,140,3
05/23/22,03:09:20,0,1.279,79.99756,140,3
05/23/22,03:09:21,0,1.279,79.99756,140,3
05/23/22,03:09:22,0,1.279,79.99756,140,3
05/23/22,03:09:23,0,1.279,79.99756,140,3
05/23/22,03:09:24,0,1.279,79.99756,140,3
05/23/22,03:09:25,0,1.279,79.99756,140,3
05/23/22,03:09:26,0,1.279,79.99756,140,3
05/23/22,03:09:27,0,1.279,79.99756,140,3
05/23/22,03:09:28,0,1.279,79.99756,140,3
05/23/22,03:09:29,0,1.279,79.99756,140,3
05/23/22,03:09:30,0,1.279,79.99756,140,3
05/23/22,03:09:31,0,1.279,79.99756,140,3
05/23/22,03:09:32,0,1.279,79.99756,140,3
05/23/22,03:09:33,0,1.279,79.99756,140,3
05/23/22,03:09:34,0,1.279,79.99756,140,3
05/23/22,03:09:35,0,1.279,79.99756,140,3
05/23/22,03:09:36,0,1.279,79.99756,140,3
05/23/22,03:09:37,0,1.279,79.99756,140,3
05/23/22,03:09:38,0,1.279,79.99756,140,3
05/23/22,03:09:39,0,1.279,79.99756,140,3
05/23/22,03:09:40,0,1.279,79.99756,140,3
05/23/22,03:09:41,0,1.279,79.99756,140,3
05/23/22,03:09:42,0,1.279,79.99756,140,3
05/23/22,03:09:43,0,1.279,79.99756,140,3
05/23/22,03:09:44,0,1.279,79.99756,140,3
05/23/22,03:09:45,0,1.279,79.99756,140,3
05/23/22,03:09:46,0,1.279,79.99756,140,3
05/23/22,03:09:47,0,1.279,79.99756,140,3
05/23/22,03:09:48,0,1.279,79.99756,140,3
05/23/22,03:09:49,0,1.279,79.99756,140,3
05/23/22,03:09:50,0,1.279,79.99756,140,3
05/23/22,03:09:51,0,1.279,79.99756,140,3
05/23/22,03:09:52,0,1.278,79.99756,140,3
05/23/22,03:09:53,0,1.278,79.99756,140,3
05/23/22,03:09:54,0,1.279,79.99756,140,3
05/23/22,03:09:55,0,1.279,79.99756,140,3
05/23/22,03:09:56,0,1.278,79.99756,140,3
05/23/22,03:09:57,0,1.279,79.99756,140,3
05/23/22,03:09:58,0,1.279,79.99756,140,3
05/23/22,03:09:59,0,1.279,79.99756,140,3
05/23/22,03:10:00,0,1.279,79.99756,140,3
05/23/22,03:10:01,0,1.279,79.99756,140,3
05/23/22,03:10:02,0,1.279,79.99756,140,3
05/23/22,03:10:03,0,1.279,79.99756,140,3
05/23/22,03:10:04,0,1.279,79.99756,140,3
05/23/22,03:10:05,0,1.279,79.99756,140,3
05/23/22,03:10:06,0,1.279,79.99756,140,3
05/23/22,03:10:07,0,1.279,79.99756,140,3
05/23/22,03:10:08,0,1.279,79.99756,140,3
05/23/22,03:10:09,0,1.279,79.99756,140,3
05/23/22,03:10:10,0,1.279,79.99756,140,3
05/23/22,03:10:11,0,1.279,79.99756,140,3
05/23/22,03:10:12,0,1.279,79.99756,140,3
05/23/22,03:10:13,0,1.279,79.99756,140,3
05/23/22,03:10:14,0,1.279,79.99756,140,3
05/23/22,03:10:15,0,1.278,79.99756,140,3
05/23/22,03:10:16,0,1.279,79.99756,140,3
05/23/22,03:10:17,0,1.279,79.99756,140,3
05/23/22,03:10:18,0,1.278,79.99756,140,3
05/23/22,03:10:19,0,1.279,79.99756,140,3
05/23/22,03:10:20,0,1.279,79.99756,140,3
05/23/22,03:10:21,0,1.279,79.99756,140,3
05/23/22,03:10:22,0,1.279,79.99756,140,3
05/23/22,03:10:23,0,1.279,79.99756,140,3
05/23/22,03:10:24,0,1.279,79.99756,140,3
05/23/22,03:10:25,0,1.279,79.99756,140,3
05/23/22,03:10:26,0,1.279,79.99756,140,3
05/23/22,03:10:27,0,1.279,79.99756,140,3
05/23/22,03:10:28,0,1.279,79.99756,140,3
05/23/22,03:10:29,0,1.279,79.99756,140,3
05/23/22,03:10:30,0,1.278,79.99756,140,3
05/23/22,03:10:31,0,1.279,79.99756,140,3
05/23/22,03:10:32,0,1.278,79.99756,140,3
05/23/22,03:10:33,0,1.279,79.99756,140,3
05/23/22,03:10:34,0,1.279,79.99756,140,3
05/23/22,03:10:35,0,1.279,79.99756,140,3
05/23/22,03:10:36,0,1.279,79.99756,140,3
05/23/22,03:10:37,0,1.279,79.99756,140,3
05/23/22,03:10:38,0,1.278,79.99756,140,3
05/23/22,03:10:39,0,1.279,79.99756,140,3
05/23/22,03:10:40,0,1.279,79.99756,140,3
05/23/22,03:10:41,0,1.278,100,140,3
05/23/22,03:10:42,0,1.279,100,140,3
05/23/22,03:10:43,0,1.278,100,140,3
05/23/22,03:10:44,0,1.27,100,140,3
05/23/22,03:10:45,0,1.262,100,140,3
05/23/22,03:10:46,0,1.255,100,140,3
05/23/22,03:10:47,0,1.248,100,140,3
05/23/22,03:10:48,0,1.242,100,140,3
05/23/22,03:10:49,0,1.237,100,140,3
05/23/22,03:10:50,0,1.232,100,140,3
05/23/22,03:10:51,0,1.227,100,140,3
05/23/22,03:10:52,0,1.224,100,140,3
05/23/22,03:10:53,0,1.22,100,140,3
05/23/22,03:10:54,0,1.216,100,140,3
05/23/22,03:10:55,0,1.213,100,140,3
05/23/22,03:10:56,0,1.21,100,140,3
05/23/22,03:10:57,0,1.207,100,140,3
05/23/22,03:10:58,0,1.204,100,140,3
05/23/22,03:10:59,0,1.202,100,140,3
05/23/22,03:11:00,0,1.2,100,140,3
05/23/22,03:11:01,0,1.198,100,140,3
05/23/22,03:11:02,0,1.197,100,140,3
05/23/22,03:11:03,0,1.195,100,140,3
05/23/22,03:11:04,0,1.193,100,140,3
05/23/22,03:11:05,0,1.192,100,140,3
05/23/22,03:11:06,0,1.191,100,140,3
05/23/22,03:11:07,0,1.189,100,140,3
05/23/22,03:11:08,0,1.188,100,140,3
05/23/22,03:11:09,0,1.187,100,140,3
05/23/22,03:11:10,0,1.187,100,140,3
05/23/22,03:11:11,0,1.186,100,140,3
05/23/22,03:11:12,0,1.185,100,140,3
05/23/22,03:11:13,0,1.184,100,140,3
05/23/22,03:11:14,0,1.183,100,140,3
05/23/22,03:11:15,0,1.183,100,140,3
05/23/22,03:11:16,0,1.182,100,140,3
05/23/22,03:11:17,0,1.182,100,140,3
05/23/22,03:11:18,0,1.181,100,140,3
05/23/22,03:11:19,0,1.18,100,140,3
05/23/22,03:11:20,0,1.18,100,140,3
05/23/22,03:11:21,0,1.179,100,140,3
05/23/22,03:11:22,0,1.179,100,140,3
05/23/22,03:11:23,0,1.178,100,140,3
05/23/22,03:11:24,0,1.178,100,140,3
05/23/22,03:11:25,0,1.178,100,140,3
05/23/22,03:11:26,0,1.177,100,140,3
05/23/22,03:11:27,0,1.177,100,140,3
05/23/22,03:11:28,0,1.176,100,140,3
05/23/22,03:11:29,0,1.176,100,140,3
05/23/22,03:11:30,0,1.176,100,140,3
05/23/22,03:11:31,0,1.176,100,140,3
05/23/22,03:11:32,0,1.176,100,140,3
05/23/22,03:11:33,0,1.175,100,140,3
05/23/22,03:11:34,0,1.175,100,140,3
05/23/22,03:11:35,0,1.175,100,140,3
05/23/22,03:11:36,0,1.174,100,140,3
05/23/22,03:11:37,0,1.174,100,140,3
05/23/22,03:11:38,0,1.174,100,140,3
05/23/22,03:11:39,0,1.174,100,140,3
05/23/22,03:11:40,0,1.173,100,140,3
05/23/22,03:11:41,0,1.173,100,140,3
05/23/22,03:11:42,0,1.173,100,140,3
05/23/22,03:11:43,0,1.173,100,140,3
05/23/22,03:11:44,0,1.173,100,140,3
05/23/22,03:11:45,0,1.173,100,140,3
05/23/22,03:11:46,0,1.172,100,140,3
05/23/22,03:11:47,0,1.172,100,140,3
05/23/22,03:11:48,0,1.172,100,140,3
05/23/22,03:11:49,0,1.172,100,140,3
05/23/22,03:11:50,0,1.172,100,140,3
05/23/22,03:11:51,0,1.172,100,140,3
05/23/22,03:11:52,0,1.172,100,140,3
05/23/22,03:11:53,0,1.172,100,140,3
05/23/22,03:11:54,0,1.171,100,140,3
05/23/22,03:11:55,0,1.172,100,140,3
05/23/22,03:11:56,0,1.171,100,140,3
05/23/22,03:11:57,0,1.171,100,140,3
05/23/22,03:11:58,0,1.171,100,140,3
05/23/22,03:11:59,0,1.172,100,140,3
05/23/22,03:12:00,0,1.171,100,140,3
05/23/22,03:12:01,0,1.171,100,140,3
05/23/22,03:12:02,0,1.171,100,140,3
05/23/22,03:12:03,0,1.171,100,140,3
05/23/22,03:12:04,0,1.171,100,140,3
05/23/22,03:12:05,0,1.171,100,140,3
05/23/22,03:12:06,0,1.171,100,140,3
05/23/22,03:12:07,0,1.171,100,140,3
05/23/22,03:12:08,0,1.171,100,140,3
05/23/22,03:12:09,0,1.171,100,140,3
05/23/22,03:12:10,0,1.171,100,140,3
05/23/22,03:12:11,0,1.171,100,140,3
05/23/22,03:12:12,0,1.171,100,140,3
05/23/22,03:12:13,0,1.17,100,140,3
05/23/22,03:12:14,0,1.171,100,140,3
05/23/22,03:12:15,0,1.171,100,140,3
05/23/22,03:12:16,0,1.171,100,140,3
05/23/22,03:12:17,0,1.17,100,140,3
05/23/22,03:12:18,0,1.17,100,140,3
05/23/22,03:12:19,0,1.171,100,140,3
05/23/22,03:12:20,0,1.17,100,140,3
05/23/22,03:12:21,0,1.171,100,140,3
05/23/22,03:12:22,0,1.171,100,140,3
05/23/22,03:12:23,0,1.17,100,140,3
05/23/22,03:12:24,0,1.17,100,140,3
05/23/22,03:12:25,0,1.17,100,140,3
05/23/22,03:12:26,0,1.17,100,140,3
05/23/22,03:12:27,0,1.169,100,140,3
05/23/22,03:12:28,0,1.17,100,140,3
05/23/22,03:12:29,0,1.17,100,140,3
05/23/22,03:12:30,0,1.17,100,140,3
05/23/22,03:12:31,0,1.169,100,140,3
05/23/22,03:12:32,0,1.169,100,140,3
05/23/22,03:12:33,0,1.17,100,140,3
05/23/22,03:12:34,0,1.17,100,140,3
05/23/22,03:12:35,0,1.169,100,140,3
05/23/22,03:12:36,0,1.169,100,140,3
05/23/22,03:12:37,0,1.169,100,140,3
05/23/22,03:12:38,0,1.169,100,140,3
05/23/22,03:12:39,0,1.169,100,140,3
05/23/22,03:12:40,0,1.169,100,140,3
05/23/22,03:12:41,0,1.169,100,140,3
05/23/22,03:12:42,0,1.17,100,140,3
05/23/22,03:12:43,0,1.17,100,140,3
05/23/22,03:12:44,0,1.169,100,140,3
05/23/22,03:12:45,0,1.17,100,140,3
05/23/22,03:12:46,0,1.169,100,140,3
05/23/22,03:12:47,0,1.17,100,140,3
05/23/22,03:12:48,0,1.17,100,140,3
05/23/22,03:12:49,0,1.17,100,140,3
05/23/22,03:12:50,0,1.169,100,140,3
05/23/22,03:12:51,0,1.169,100,140,3
05/23/22,03:12:52,0,1.169,100,140,3
05/23/22,03:12:53,0,1.169,100,140,3
05/23/22,03:12:54,0,1.169,100,140,3
05/23/22,03:12:55,0,1.169,100,140,3
05/23/22,03:12:56,0,1.169,100,140,3
05/23/22,03:12:57,0,1.169,100,140,3
05/23/22,03:12:58,0,1.169,100,140,3
05/23/22,03:12:59,0,1.17,100,140,3
05/23/22,03:13:00,0,1.17,100,140,3
05/23/22,03:13:01,0,1.169,100,140,3
05/23/22,03:13:02,0,1.17,100,140,3
05/23/22,03:13:03,0,1.17,100,140,3
05/23/22,03:13:04,0,1.17,100,140,3
05/23/22,03:13:05,0,1.17,100,140,3
05/23/22,03:13:06,0,1.17,100,140,3
05/23/22,03:13:07,0,1.17,100,140,3
05/23/22,03:13:08,0,1.17,100,140,3
05/23/22,03:13:09,0,1.17,100,140,3
05/23/22,03:13:10,0,1.17,100,140,3
05/23/22,03:13:11,0,1.17,100,140,3
05/23/22,03:13:12,0,1.169,100,140,3
05/23/22,03:13:13,0,1.17,100,140,3
05/23/22,03:13:14,0,1.17,100,140,3
05/23/22,03:13:15,0,1.17,100,140,3
05/23/22,03:13:16,0,1.17,100,140,3
05/23/22,03:13:17,0,1.17,100,140,3
05/23/22,03:13:18,0,1.17,100,140,3
05/23/22,03:13:19,0,1.17,100,140,3
05/23/22,03:13:20,0,1.17,100,140,3
05/23/22,03:13:21,0,1.17,100,140,3
05/23/22,03:13:22,0,1.17,100,140,3
05/23/22,03:13:23,0,1.17,100,140,3
05/23/22,03:13:24,0,1.17,100,140,3
05/23/22,03:13:25,0,1.17,100,140,3
05/23/22,03:13:26,0,1.169,100,140,3
05/23/22,03:13:27,0,1.17,100,140,3
05/23/22,03:13:28,0,1.17,100,140,3
05/23/22,03:13:29,0,1.17,100,140,3
05/23/22,03:13:30,0,1.17,100,140,3
05/23/22,03:13:31,0,1.17,100,140,3
05/23/22,03:13:32,0,1.17,100,140,3
05/23/22,03:13:33,0,1.17,100,140,3
05/23/22,03:13:34,0,1.17,100,140,3
05/23/22,03:13:35,0,1.17,100,140,3
05/23/22,03:13:36,0,1.17,100,140,3
05/23/22,03:13:37,0,1.17,100,140,3
05/23/22,03:13:38,0,1.17,100,140,3
05/23/22,03:13:39,0,1.171,100,140,3
05/23/22,03:13:40,0,1.17,100,140,3
05/23/22,03:13:41,0,1.17,100,140,3
05/23/22,03:13:42,0,1.17,100,140,3
05/23/22,03:13:43,0,1.17,100,140,3
05/23/22,03:13:44,0,1.17,100,140,3
05/23/22,03:13:45,0,1.169,100,140,3
05/23/22,03:13:46,0,1.17,100,140,3
05/23/22,03:13:47,0,1.17,100,140,3
05/23/22,03:13:48,0,1.17,100,140,3
05/23/22,03:13:49,0,1.17,100,140,3
05/23/22,03:13:50,0,1.17,100,140,3
05/23/22,03:13:51,0,1.17,100,140,3
05/23/22,03:13:52,0,1.17,100,140,3
05/23/22,03:13:53,0,1.17,100,140,3
05/23/22,03:13:54,0,1.17,100,140,3
05/23/22,03:13:55,0,1.17,100,140,3
05/23/22,03:13:56,0,1.17,100,140,3
05/23/22,03:13:57,0,1.17,100,140,3
05/23/22,03:13:58,0,1.169,100,140,3
05/23/22,03:13:59,0,1.17,100,140,3
05/23/22,03:14:00,0,1.17,100,140,3
05/23/22,03:14:01,0,1.17,100,140,3
05/23/22,03:14:02,0,1.17,100,140,3
05/23/22,03:14:03,0,1.17,100,140,3
05/23/22,03:14:04,0,1.17,100,140,3
05/23/22,03:14:05,0,1.17,100,140,3
05/23/22,03:14:06,0,1.169,100,140,3
05/23/22,03:14:07,0,1.17,100,140,3
05/23/22,03:14:08,0,1.17,100,140,3
05/23/22,03:14:09,0,1.17,100,140,3
05/23/22,03:14:10,0,1.17,100,140,3
05/23/22,03:14:11,0,1.17,100,140,3
05/23/22,03:14:12,0,1.17,100,140,3
05/23/22,03:14:13,0,1.17,100,140,3
05/23/22,03:14:14,0,1.17,100,140,3
05/23/22,03:14:15,0,1.17,100,140,3
05/23/22,03:14:16,0,1.17,100,140,3
05/23/22,03:14:17,0,1.17,100,140,3
05/23/22,03:14:18,0,1.17,100,140,3
05/23/22,03:14:19,0,1.17,100,140,3
05/23/22,03:14:20,0,1.17,100,140,3
05/23/22,03:14:21,0,1.17,100,140,3
05/23/22,03:14:22,0,1.17,100,140,3
05/23/22,03:14:23,0,1.17,100,140,3
05/23/22,03:14:24,0,1.17,100,140,3
05/23/22,03:14:25,0,1.17,100,140,3
05/23/22,03:14:26,0,1.17,100,140,3
05/23/22,03:14:27,0,1.17,100,140,3
05/23/22,03:14:28,0,1.17,100,140,3
05/23/22,03:14:29,0,1.17,100,140,3
05/23/22,03:14:30,0,1.17,100,140,3
05/23/22,03:14:31,0,1.17,100,140,3
05/23/22,03:14:32,0,1.17,100,140,3
05/23/22,03:14:33,0,1.17,100,140,3
05/23/22,03:14:34,0,1.17,100,140,3
05/23/22,03:14:35,0,1.17,100,140,3
05/23/22,03:14:36,0,1.17,100,140,3
05/23/22,03:14:37,0,1.17,100,140,3
05/23/22,03:14:38,0,1.17,100,140,3
05/23/22,03:14:39,0,1.17,100,140,3
05/23/22,03:14:40,0,1.17,100,140,3
05/23/22,03:14:41,0,1.17,100,140,3
05/23/22,03:14:42,0,1.17,100,140,3
05/23/22,03:14:43,0,1.17,100,140,3
05/23/22,03:14:44,0,1.17,100,140,3
05/23/22,03:14:45,0,1.17,100,140,3
05/23/22,03:14:46,0,1.17,100,140,3
05/23/22,03:14:47,0,1.17,100,140,3
05/23/22,03:14:48,0,1.17,100,140,3
05/23/22,03:14:49,0,1.17,100,140,3
05/23/22,03:14:50,0,1.17,100,140,3
05/23/22,03:14:51,0,1.17,100,140,3
05/23/22,03:14:52,0,1.17,100,140,3
05/23/22,03:14:53,0,1.17,100,140,3
05/23/22,03:14:54,0,1.17,100,140,3
05/23/22,03:14:55,0,1.171,100,140,3
05/23/22,03:14:56,0,1.171,100,140,3
05/23/22,03:14:57,0,1.17,100,140,3
05/23/22,03:14:58,0,1.17,100,140,3
05/23/22,03:14:59,0,1.17,100,140,3
05/23/22,03:15:00,0,1.17,100,140,3
05/23/22,03:15:01,0,1.17,100,140,3
